"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model","sensor_config","C","gamma","kernel","max_depth","max_iter","multi_class","n_estimators","n_neighbors","random_state","solver","generalization_gap","test_accuracy","test_f1","train_accuracy","train_f1"
"naive_bayes_fused_9f2e6d","finished","-","","","2025-08-08T18:32:04.000Z","2","","naive_bayes","fused","","","","","","","","","","","0","1","1","1","1"
"naive_bayes_gyro_5d089a","finished","-","","","2025-08-08T18:32:01.000Z","2","","naive_bayes","gyro","","","","","","","","","","","0","1","1","1","1"
"naive_bayes_accel_b10bdf","finished","-","","","2025-08-08T18:31:58.000Z","2","","naive_bayes","accel","","","","","","","","","","","0","1","1","1","1"
"extra_trees_classifier_fused_d9d512","finished","-","","","2025-08-08T18:31:51.000Z","6","","extra_trees_classifier","fused","","","","10","","","200","","42","","0.025376593300650896","0.972175093315236","0.9719135061837976","0.9975516866158868","0.997551025355802"
"extra_trees_classifier_fused_3b178a","finished","-","","","2025-08-08T18:31:46.000Z","4","","extra_trees_classifier","fused","","","","10","","","100","","42","","0.027478424601769413","0.9691211401425178","0.9688445544836268","0.9965995647442872","0.9965982046339296"
"extra_trees_classifier_gyro_0f8e46","finished","-","","","2025-08-08T18:31:39.000Z","7","","extra_trees_classifier","gyro","","","","10","","","200","","42","","0.025376593300650896","0.972175093315236","0.9719135061837976","0.9975516866158868","0.997551025355802"
"extra_trees_classifier_gyro_049389","finished","-","","","2025-08-08T18:31:34.000Z","5","","extra_trees_classifier","gyro","","","","10","","","100","","42","","0.027478424601769413","0.9691211401425178","0.9688445544836268","0.9965995647442872","0.9965982046339296"
"extra_trees_classifier_accel_d09e9d","finished","-","","","2025-08-08T18:31:27.000Z","7","","extra_trees_classifier","accel","","","","10","","","200","","42","","0.025376593300650896","0.972175093315236","0.9719135061837976","0.9975516866158868","0.997551025355802"
"extra_trees_classifier_accel_a75b96","finished","-","","","2025-08-08T18:31:23.000Z","4","","extra_trees_classifier","accel","","","","10","","","100","","42","","0.027478424601769413","0.9691211401425178","0.9688445544836268","0.9965995647442872","0.9965982046339296"
"random_forest_classifier_fused_11d198","finished","-","","","2025-08-08T18:30:48.000Z","34","","random_forest_classifier","fused","","","","10","","","200","","42","","0.02884146028513168","0.9704784526637258","0.97029863708638","0.9993199129488576","0.9993198681996468"
